rand_index,pmid,title,abstract,journal,classification
0.800320382,31293938,The Patterns and Etiology of Maxillofacial Trauma in South India,"Background: Maxillofacial trauma is any physical trauma to the facial region, commonly encountered by maxillofacial surgeons, and is often associated with high morbidity. Maxillofacial injuries can occur as an isolated injury or may be associated with multiple injuries in other parts of the body. Aim: This study aims to assess the patterns, etiology, and management outcomes of maxillofacial trauma in a teaching hospital in Chennai, South India, over an 8-year period. Methods: Patients with maxillofacial injury were identified using the department database and clinical records. Nine hundred and forty-four patients were identified with maxillofacial trauma in the Department of Oral and Maxillofacial Surgery between January 2009 and December 2017. Results: The mean age of the patients was 30 ± 12 years. Of the 944 patients with maxillofacial injuries, 64% had isolated lower face (mandibular) fractures, followed by isolated midface fractures (19%). Road traffic accidents were the most common form of etiology for trauma. Conclusion: The etiology and pattern of maxillofacial injuries reflect the trauma patterns within the community and can thus provide a guide to help design programs toward prevention and treatment.",Annals of maxillofacial surgery,CLINIC
0.9066396,29543746,"Mechanical, Electrical and Magnetic Properties of Ferrogels with Embedded Iron Oxide Nanoparticles Obtained by Laser Target Evaporation: Focus on Multifunctional Biosensor Applications","Hydrogels are biomimetic materials widely used in the area of biomedical engineering and biosensing. Ferrogels (FG) are magnetic composites capable of functioning as magnetic field sensitive transformers and field assisted drug deliverers. FG can be prepared by incorporating magnetic nanoparticles (MNPs) into chemically crosslinked hydrogels. The properties of biomimetic ferrogels for multifunctional biosensor applications can be set up by synthesis. The properties of these biomimetic ferrogels can be thoroughly controlled in a physical experiment environment which is much less demanding than biotests. Two series of ferrogels (soft and dense) based on polyacrylamide (PAAm) with different chemical network densities were synthesized by free-radical polymerization in aqueous solution with N , N ’-methylene-diacrylamide as a cross-linker and maghemite Fe 2 O 3 MNPs fabricated by laser target evaporation as a filler. Their mechanical, electrical and magnetic properties were comparatively analyzed. We developed a giant magnetoimpedance (MI) sensor prototype with multilayered FeNi-based sensitive elements deposited onto glass or polymer substrates adapted for FG studies. The MI measurements in the initial state and in the presence of FG with different concentrations of MNPs at a frequency range of 1–300 MHz allowed a precise characterization of the stray fields of the MNPs present in the FG. We proposed an electrodynamic model to describe the MI in multilayered film with a FG layer based on the solution of linearized Maxwell equations for the electromagnetic fields coupled with the Landau-Lifshitz equation for the magnetization dynamics.","Sensors (Basel, Switzerland)",ENG
0.222491789,19698790,Automated pipeline for atlas-based annotation of gene expression patterns: Application to postnatal day 7 mouse brain," Massive amounts of image data have been collected and continue to be generated for representing cellular gene expression throughout the mouse brain. Critical to exploiting this key effort of the post-genomic era is the ability to place these data into a common spatial reference that enables rapid interactive queries, analysis, data sharing, and visualization. In this paper, we present a set of automated protocols for generating and annotating gene expression patterns suitable for the establishment of a database. The steps include imaging tissue slices, detecting cellular gene expression levels, spatial registration with an atlas, and textual annotation. Using high-throughput in situ hybridization to generate serial sets of tissues displaying gene expression, this process was applied towards the establishment of a database representing over 200 genes in the postnatal day 7 mouse brain. These data using this protocol are now well-suited for interactive comparisons, analysis, queries, and visualization. ","Methods (San Diego, Calif.)",CS
0.920044471,16319823,Enlarged parietal foramina caused by mutations in the homeobox genes  ALX4  and  MSX2 : from genotype to phenotype," Heterozygous mutations of the homeobox genes ALX4 and MSX2 cause skull defects termed enlarged parietal foramina (PFM) and cranium bifidum (CB); a single MSX2 mutation has been documented in a unique craniosynostosis (CRS) family. However, the relative mutational contribution of these genes to PFM/CB and CRS is not known and information on genotype–phenotype correlations is incomplete. We analysed ALX4 and MSX2 in 11 new unrelated cases or families with PFM/CB, 181 cases of CRS, and a single family segregating a submicroscopic deletion of 11p11.2, including ALX4 . We explored the correlations between skull defect size and age, gene, and mutation type, and reviewed additional phenotypic manifestations. Four PFM cases had mutations in either ALX4 or MSX2 ; including previous families, we have identified six ALX4 and six MSX2 mutations, accounting for 11/13 familial, but only 1/6 sporadic cases. The deletion family confirms the delineation of a mental retardation locus to within 1.1 Mb region of 11p11.2. Overall, no significant size difference was found between ALX4- and MSX2- related skull defects, but the ALX4 mutation p.R218Q tends to result in persistent CB and is associated with anatomical abnormalities of the posterior fossa. We conclude that PFM caused by mutations in ALX4 and MSX2 have a similar prevalence and are usually clinically indistinguishable. Mutation screening has a high pickup rate in PFM, especially in familial cases, but is not indicated in CRS. ",European journal of human genetics : EJHG,POPGENE
0.987739396,30108427,"First survey of Interstitial molluscs from Cayo Nuevo, Campeche Bank, Gulf of Mexico","Abstract Six sediment samples weighing between 224–735 g were collected in June of 2016 from Cayo Nuevo reef, located at the Campeche Bank, southern Gulf of Mexico. Samples were collected by SCUBA diving, from were two stations at depths of 7.6 and 18.2 m. Sediment was sieved and molluscs (adults and micromolluscs ≤ 10 mm) were sorted, examined, and identified to the lowest taxonomic level. A total of 1,347 specimens was found, of which 224 shells were dead and 1,123 were alive. Thirty-four families, 53 genera, and 67 species were identified. The most abundant families were Chamidae and Arcidae for the Bivalvia class, and Caecidae and Tornidae for the Gastropoda class. The vertical range of Bentharca sp. was extended.",ZooKeys,ANIMAL
0.551413309,20195527,Hotspots of Large Rare Deletions in the Human Genome,"Background We have examined the genomic distribution of large rare autosomal deletions in a sample of 440 parent-parent-child trios from the Quebec founder population (QFP) which was recruited for a study of Attention Deficit Hyperactivity Disorder. Methodology/Principal Findings DNA isolated from blood was genotyped on Illumina Hap300 arrays. PennCNV combined with visual evaluation of images generated by the Beadstudio program was used to determine deletion boundary definition of sufficient precision to discern independent events, with near-perfect concordance between parent and child in about 98% of the 399 events detected in the offspring; the remaining 7 deletions were considered de novo . We defined several genomic regions of very high deletion frequency (‘hotspots’), usually of 0.4–0.6 Mb in length where independent rare deletions were found at frequencies of up to 100 fold higher than the average for the genome as a whole. Five of the 7 de novo deletions were in these hotspots. The same hotspots were also observed in three other studies on members of the QFP, those with schizophrenia, with endometriosis and those from a longevity cohort. Conclusions/Significance Nine of the 13 hotspots carry one gene (7 of which are very long), while the rest contain no known genes. All nine genes have been implicated in disease. The patterns of exon deletions support the proposed roles for some of these genes in human disease, such as NRXN1 and PARKIN , and suggest limited roles or no role at all, for others, including MACROD2 and CTNNA3 . Our results also offer an alternative interpretation for the observations of deletions in tumors which have been proposed as reflecting tumor-suppressive activity of genes in these hotspots.",PloS one,POPGENE
0.432673332,30102042,Interface Residues That Drive Allosteric Transitions Also Control the Assembly of L-Lactate Dehydrogenase," The allosteric enzyme, L-lactate dehydrogenase (LDH), is activated by fructose 1,6-metaphosphate (FBP) to reduce pyruvate to lactate. The molecular details of the FBP-driven transition from the low affinity T state to the high affinity R state in LDH, a tetramer composed of identical subunits, are not known. The dynamics of the T → R allosteric transition, investigated using Brownian dynamics (BD) simulations of the self-organized polymer (SOP) model, revealed that coordinated rotations of the subunits drive the T → R transition. We used the structural perturbation method (SPM), which requires only the static structure, to identify the allostery wiring diagram (AWD), a network of residues that transmits signals across the tetramer, as LDH undergoes the T → R transition. Interestingly, the residues that play a major role in the dynamics, which are predominantly localized at the interfaces, coincide with the AWD identified using the SPM. Although the allosteric pathways are highly heterogeneous, on the basis of our simulations, we surmise that predominantly the conformational changes in the T → R transition start from the region near the active site, comprised of helix α C, helix α 1/2G, helix α 3G, and helix α 2F, and proceed to other structural units, thus completing the global motion. Brownian dynamics simulations of the tetramer assembly, triggered by a temperature quench from the fully disrupted conformations, show that the bottleneck for assembly is the formation of the correct orientational registry between the subunits, requiring contacts between the interface residues. Surprisingly, these residues are part of the AWD, which was identified using the SPM. Taken together, our results show that LDH, and perhaps other multidomain proteins, may have evolved to stabilize distinct states of allosteric enzymes using precisely the same AWD that also controls the functionally relevant allosteric transitions.   Graphical Abstract    ",The journal of physical chemistry. B,CHEM
0.910788791,27122148,Addressing inaccuracies in BLOSUM computation improves homology search performance,"Background BLOSUM matrices belong to the most commonly used substitution matrix series for protein homology search and sequence alignments since their publication in 1992. In 2008, Styczynski et al. discovered miscalculations in the clustering step of the matrix computation. Still, the RBLOSUM64 matrix based on the corrected BLOSUM code was reported to perform worse at a statistically significant level than the BLOSUM62. Here, we present a further correction of the (R)BLOSUM code and provide a thorough performance analysis of BLOSUM-, RBLOSUM- and the newly derived CorBLOSUM-type matrices. Thereby, we assess homology search performance of these matrix-types derived from three different BLOCKS databases on all versions of the ASTRAL20, ASTRAL40 and ASTRAL70 subsets resulting in 51 different benchmarks in total. Our analysis is focused on two of the most popular BLOSUM matrices — BLOSUM50 and BLOSUM62. Results Our study shows that fixing small errors in the BLOSUM code results in substantially different substitution matrices with a beneficial influence on homology search performance when compared to the original matrices. The CorBLOSUM matrices introduced here performed at least as good as their BLOSUM counterparts in ∼75 % of all test cases. On up-to-date ASTRAL databases BLOSUM matrices were even outperformed by CorBLOSUM matrices in more than 86 % of the times. In contrast to the study by Styczynski et al., the tested RBLOSUM matrices also outperformed the corresponding BLOSUM matrices in most of the cases. Comparing the CorBLOSUM with the RBLOSUM matrices revealed no general performance advantages for either on older ASTRAL releases. On up-to-date ASTRAL databases however CorBLOSUM matrices performed better than their RBLOSUM counterparts in ∼74 % of the test cases. Conclusions Our results imply that CorBLOSUM type matrices outperform the BLOSUM matrices on a statistically significant level in most of the cases, especially on up-to-date databases such as ASTRAL ≥2.01. Additionally, CorBLOSUM matrices are closer to those originally intended by Henikoff and Henikoff on a conceptual level. Hence, we encourage the usage of CorBLOSUM over (R)BLOSUM matrices for the task of homology search. Electronic supplementary material The online version of this article (doi:10.1186/s12859-016-1060-3) contains supplementary material, which is available to authorized users.",BMC bioinformatics,CS
0.827008328,27483326,"The Impact of Rendered Protein Meal Oxidation Level on Shelf-Life, Sensory Characteristics, and Acceptability in Extruded Pet Food","Simple Summary Sensory analysis was used to determine the changes due to the storage time on extruded pet food prepared from two different rendered protein meals: (i) beef meat and bone meal (BMBM); (ii) chicken byproduct meal (CPBM). Extrusion is a process where feed is pressed through a die in order to create shapes and increase digestibility. Descriptive sensory analysis using a human panel found an increase in undesirable sensory attributes (e.g., oxidized oil, rancid) in extruded pet food over storage time, especially the one prepared from chicken by product meal without antioxidants. The small increase in oxidized and rancid aromas of BMBM samples did not affect pet owners’ acceptability of the products. CPBM samples without antioxidants showed a notable increase in oxidized and rancid aroma over storage time and, thus, affected product acceptability negatively. This finding indicated that human sensory analysis can be used as a tool to track the changes of pet food characteristics due to storage, as well as estimate the shelf-life of the products. Abstract Pet foods are expected to have a shelf-life for 12 months or more. Sensory analysis can be used to determine changes in products and to estimate products’ shelf-life. The objectives of this study were to (1) investigate how increasing levels of oxidation in rendered protein meals used to produce extruded pet food affected the sensory properties and (2) determine the effect of shelf-life on pet owners’ acceptability of extruded pet food diet formulated without the use of preservative. Pet food diets contained beef meat bone meal (BMBM) and chicken byproduct meal (CBPM) in which the oxidation was retarded with ethoxyquin, mixed tocopherols, or none at all, and then extruded into dry pet foods. These samples represented low, medium, and high oxidation levels, respectively. Samples were stored for 0, 3, 6, 9, and 12 months at ambient temperature. Each time point, samples were evaluated by six highly trained descriptive panelists for sensory attributes related to oxidation. Samples without preservatives were chosen for the acceptability test, since the differences in sensory characteristics over storage time were more distinguishable in those samples. Pet owners evaluated samples for aroma, appearance and overall liking. Descriptive sensory analysis detected significant changes in oxidized-related sensory characteristics over storage time. However, the differences for CBPM samples were more pronounced and directional. The consumer study showed no differences in pet owners’ acceptability for BMBM samples. However, the noticeable increase in aroma characteristics (rancid aroma 0.33–4.21) in CBPM samples over storage time did have a negative effect on consumer’s liking (overall liking 5.52–4.95).",Animals : an open access journal from MDPI,ANIMAL
0.124044403,26209430,"CRISPR-ERA: a comprehensive design tool for CRISPR-mediated gene editing, repression and activation","Summary: The CRISPR/Cas9 system was recently developed as a powerful and flexible technology for targeted genome engineering, including genome editing (altering the genetic sequence) and gene regulation (without altering the genetic sequence). These applications require the design of single guide RNAs (sgRNAs) that are efficient and specific. However, this remains challenging, as it requires the consideration of many criteria. Several sgRNA design tools have been developed for gene editing, but currently there is no tool for the design of sgRNAs for gene regulation. With accumulating experimental data on the use of CRISPR/Cas9 for gene editing and regulation, we implement a comprehensive computational tool based on a set of sgRNA design rules summarized from these published reports. We report a genome-wide sgRNA design tool and provide an online website for predicting sgRNAs that are efficient and specific. We name the tool CRISPR-ERA, for clustered regularly interspaced short palindromic repeat-mediated e diting, r epression, and a ctivation (ERA). Availability and implementation : http://CRISPR-ERA.stanford.edu . Contact : stanley.qi@stanford.edu or xwwang@tsinghua.edu.cn Supplementary information:  Supplementary data are available at Bioinformatics online.","Bioinformatics (Oxford, England)",CS
0.488609646,27274407,Low reoperation rate following 336 multilevel lumbar laminectomies with noninstrumented fusions,"Background: Few reoperations are required in older patients undergoing multilevel lumbar laminectomy with noninstrumented fusions for spinal stenosis with/without spondylolisthesis/instability, and they rarely require instrumentation. Methods: We reviewed 336 patients averaging 66.5 years of age undergoing initial average 4.7 level lumbar laminectomies with average 1.4 level noninstrumented fusions over an average 7.1-year period (range 2.0–16.5 years). Patients uniformly exhibited spinal stenosis, instability (Grade I [195 patients] or Grade II spondylolisthesis [67 patients]), disc herniations (154 patients), and/or synovial cysts (66 patients). Reoperations, including for adjacent segment disease (ASD), addressed new/recurrent pathology. Results: Nine (2.7%) of 336 patients required reoperations, including for ASD, an average of 6.3 years (range 2–15 years) following initial 4.7 level laminectomies with 1.4 level noninstrumented fusions. Second operations warranted average 4.8 level (range 3–6) laminectomies and average 1.1 level non instrumented fusions addressing stenosis with instability (Grade I [7 patients] or Grade II [1 patient] spondylolisthesis), new disc herniations (2 patients), and/or a synovial cyst (1 patient). Conclusions: Only 9 (2.7%) of 336 patients required reoperations (including for ASD) consisting of multilevel laminectomies with noninstrumented fusions for recurrent/new stenosis even with instability; these older patients were not typically unstable, or were likely already fused, and did not require instrumentation. Alternatively, reoperation rates following instrumented fusions in other series approached 80% at 5 postoperative years. Therefore, we as spinal surgeons should realize that older patients even with instability rarely require instrumentation and that the practice of performing instrumented fusions in everyone, irrespective of age, needs to stop.",Surgical neurology international,CLINIC
0.015204059,22426231,Precise hierarchical self-assembly of multicompartment micelles,"Hierarchical self-assembly offers elegant and energy-efficient bottom-up strategies for the structuring of complex materials. For block copolymers, the last decade witnessed great progress in diversifying the structural complexity of solution-based assemblies into multicompartment micelles. However, a general understanding of what governs multicompartment micelle morphologies and polydispersity, and how to manipulate their hierarchical superstructures using straightforward concepts and readily accessible polymers remains unreached. Here we demonstrate how to create homogeneous multicompartment micelles with unprecedented structural control via the intermediate pre-assembly of subunits. This directed self-assembly leads to a step-wise reduction of the degree of conformational freedom and dynamics and avoids undesirable kinetic obstacles during the structure build-up. It yields a general concept for homogeneous populations of well-defined multicompartment micelles with precisely tunable patchiness, while using simple linear ABC triblock terpolymers. We further demonstrate control over the hierarchical step-growth polymerization of multicompartment micelles into micron-scale segmented supracolloidal polymers as an example of programmable mesoscale colloidal hierarchies via well-defined patchy nanoobjects. Multicompartment micelles can be assembled from block copolymers but it is difficult to manipulate their hierarchical superstructures using straightforward concepts. Here, methods are developed that involve the pre-assembly of subunits for the structurally controlled production of micelles.",Nature communications,CHEM
0.744288021,16766443,Mood-congruent free recall bias in anxious individuals is not a consequence of response bias," The status of mood-congruent free recall bias in anxious individuals was evaluated following incidental encoding of target words. Individuals with high and low levels of trait anxiety completed a modified Stroop task, which revealed an attentional bias for threat-related stimuli in anxious individuals. This group was significantly slower in naming the colour in which threat-related words were displayed compared to neutral words. In a subsequent free recall test for the words used in the modified Stroop task, anxious individuals recalled more threat-related words compared to low-anxious people. This difference was significant even when controlling for the false recall of items that had not been presented during study. These results support the view put forward by Russo, Fox, Bellinger, and Nguyen-Van-Tam (2001) that mood-congruent free recall bias in anxious individuals can be observed if the target material is encoded at a relatively shallow level. Moreover, contrary to Dowens and Calvo (2003) , the current results show that the memory advantage for threat-related information in anxious individuals is not a consequence of response bias. ","Memory (Hove, England)",PSYCH
0.281100886,22290882,Analysis of DNA Sequence Variants Detected by High Throughput Sequencing," The Undiagnosed Diseases Program at the National Institutes of Health uses High Throughput Sequencing (HTS) to diagnose rare and novel diseases. HTS techniques generate large numbers of DNA sequence variants, which must be analyzed and filtered to find candidates for disease causation. Despite the publication of an increasing number of successful exome-based projects, there has been little formal discussion of the analytic steps applied to HTS variant lists. We present the results of our experience with over 30 families for whom HTS sequencing was used in an attempt to find clinical diagnoses. For each family, exome sequence was augmented with high-density SNP-array data. We present a discussion of the theory and practical application of each analytic step and provide example data to illustrate our approach. The paper is designed to provide an analytic roadmap for variant analysis, thereby enabling a wide range of researchers and clinical genetics practitioners to perform direct analysis of HTS data for their patients and projects. ",Human mutation,POPGENE
0.657712669,23312905,Engineering nanocages with polyglutamate domains for coupling to hydroxyapatite biomaterials and allograft bone," Hydroxyapatite (HA) is the principal constituent of bone mineral, and synthetic HA is widely used as a biomaterial for bone repair. Previous work has shown that polyglutamate domains bind selectively to HA and that these domains can be utilized to couple bioactive peptides onto many different HA-containing materials. In the current study we have adapted this technology to engineer polyglutamate domains into cargo-loaded nanocage structures derived from the P22 bacteriophage. P22 nanocages have demonstrated significant potential as a drug delivery system due to their stability, large capacity for loading with a diversity of proteins and other types of cargo, and ability to resist degradation by proteases. Site-directed mutagenesis was used to modify the primary coding sequence of the P22 coat protein to incorporate glutamate-rich regions. Relative to wild-type P22, the polyglutamate-modified nanocages (E2-P22) exhibited increased binding to ceramic HA disks, particulate HA and allograft bone. Furthermore, E2-P22 binding was HA selective, as evidenced by negligible binding of the nanocages to non-HA materials including polystyrene, agarose, and polycaprolactone (PCL). Taken together these results establish a new mechanism for the directed coupling of nanocage drug delivery systems to a variety of HA-containing materials commonly used in diverse bone therapies. ",Biomaterials,ENG
0.224609138,20003275,Researching the mental health needs of hard-to-reach groups: managing multiple sources of evidence,"Background Common mental health problems impose substantial challenges to patients, carers, and health care systems. A range of interventions have demonstrable efficacy in improving the lives of people experiencing such problems. However many people are disadvantaged, either because they are unable to access primary care, or because access does not lead to adequate help. New methods are needed to understand the problems of access and generate solutions. In this paper we describe our methodological approach to managing multiple and diverse sources of evidence, within a research programme to increase equity of access to high quality mental health services in primary care. Methods We began with a scoping review to identify the range and extent of relevant published material, and establish key concepts related to access. We then devised a strategy to collect - in parallel - evidence from six separate sources: a systematic review of published quantitative data on access-related studies; a meta-synthesis of published qualitative data on patient perspectives; dialogues with local stakeholders; a review of grey literature from statutory and voluntary service providers; secondary analysis of patient transcripts from previous qualitative studies; and primary data from interviews with service users and carers. We synthesised the findings from these diverse sources, made judgements on key emerging issues in relation to needs and services, and proposed a range of potential interventions. These proposals were debated and refined using iterative electronic and focus group consultation procedures involving international experts, local stakeholders and service users. Conclusions Our methods break new ground by generating and synthesising multiple sources of evidence, connecting scientific understanding with the perspectives of users, in order to develop innovative ways to meet the mental health needs of under-served groups.",BMC health services research,CLINIC
0.504421351,23530594,Steep clines within a highly permeable genome across a hybrid zone between two subspecies of the European rabbit," Maintenance of genetic distinction in the face of gene flow is an important aspect of the speciation process. Here, we provide a detailed spatial and genetic characterization of a hybrid zone between two subspecies of the European rabbit. We examined patterns of allele frequency change for 22 markers located on the autosomes, X-chromosome, Y-chromosome, and mtDNA in 1078 individuals sampled across the hybrid zone. While some loci revealed extremely wide clines ( w >=300 km) relative to an estimated dispersal of 1.95–4.22 km/generation, others showed abrupt transitions ( w ≈ 10 km), indicating localized genomic regions of strong selection against introgression. The subset of loci showing steep clines had largely coincident centers and stepped changes in allele frequency that did not co-localize with any physical barrier or ecotone, suggesting that the rabbit hybrid zone is a tension zone. The steepest clines were for X and Y chromosome markers. Our results are consistent with previous inference based on DNA sequence variation of individuals sampled in allopatry in suggesting that a large proportion of each genome has escaped the overall barrier to gene flow in the middle of the hybrid zone. These results imply an old history of hybridization and high effective gene flow, and anticipate that isolation factors should often localize to small genomic regions. ",Molecular ecology,ECO
0.153306315,31076758,Birth-and-Death Evolution of the Fatty Acyl-CoA Reductase (FAR) Gene Family and Diversification of Cuticular Hydrocarbon Synthesis in  Drosophila,"Abstract The birth-and-death evolutionary model proposes that some members of a multigene family are phylogenetically stable and persist as a single copy over time, whereas other members are phylogenetically unstable and undergo frequent duplication and loss. Functional studies suggest that stable genes are likely to encode essential functions, whereas rapidly evolving genes reflect phenotypic differences in traits that diverge rapidly among species. One such class of rapidly diverging traits are insect cuticular hydrocarbons (CHCs), which play dual roles in chemical communications as short-range recognition pheromones as well as protecting the insect from desiccation. Insect CHCs diverge rapidly between related species leading to ecological adaptation and/or reproductive isolation. Because the CHC and essential fatty acid biosynthetic pathways share common genes, we hypothesized that genes involved in the synthesis of CHCs would be evolutionary unstable, whereas those involved in fatty acid-associated essential functions would be evolutionary stable. To test this hypothesis, we investigated the evolutionary history of the fatty acyl-CoA reductases (FARs) gene family that encodes enzymes in CHC synthesis. We compiled a unique data set of 200 FAR proteins across 12 Drosophila species. We uncovered a broad diversity in FAR content which is generated by gene duplications, subsequent gene losses, and alternative splicing. We also show that FARs expressed in oenocytes and presumably involved in CHC synthesis are more unstable than FARs from other tissues. Taken together, our study provides empirical evidence that a comparative approach investigating the birth-and-death evolution of gene families can identify candidate genes involved in rapidly diverging traits between species.",Genome biology and evolution,ECO
0.945143978,27555996,Correlation and Reliability of Cervical Sagittal Alignment Parameters between Lateral Cervical Radiograph and Lateral Whole-Body EOS Stereoradiograph,"Study Design Retrospective analysis. Objective To evaluate the correlation and reliability of cervical sagittal alignment parameters obtained from lateral cervical radiographs (XRs) compared with lateral whole-body stereoradiographs (SRs). Methods We evaluated adults with cervical deformity using both lateral XRs and lateral SRs obtained within 1 week of each other between 2010 and 2014. XR and SR images were measured by two independent spine surgeons using the following sagittal alignment parameters: C2–C7 sagittal Cobb angle (SCA), C2–C7 sagittal vertical axis (SVA), C1–C7 translational distance (C1–7), T1 slope (T1-S), neck tilt (NT), and thoracic inlet angle (TIA). Pearson correlation and paired t test were used for statistical analysis, with intra- and interrater reliability analyzed using intraclass correlation coefficient (ICC). Results A total of 35 patients were included in the study. We found excellent intrarater reliability for all sagittal alignment parameters in both the XR and SR groups with ICC ranging from 0.799 to 0.994 for XR and 0.791 to 0.995 for SR. Interrater reliability was also excellent for all parameters except NT and TIA, which had fair reliability. We also found excellent correlations between XR and SR measurements for most sagittal alignment parameters; SCA, SVA, and C1–C7 had r > 0.90, and only NT had r < 0.70. There was a significant difference between groups, with SR having lower measurements compared with XR for both SVA (0.68 cm lower, p < 0.001) and C1–C7 (1.02 cm lower, p < 0.001). There were no differences between groups for SCA, T1-S, NT, and TIA. Conclusion Whole-body stereoradiography appears to be a viable alternative for measuring cervical sagittal alignment parameters compared with standard radiography. XR and SR demonstrated excellent correlation for most sagittal alignment parameters except NT. However, SR had significantly lower average SVA and C1–C7 measurements than XR. The lower radiation exposure using single SR has to be weighed against its higher cost compared with XR.",Global spine journal,CLINIC
0.759398176,16546804,Harboring illnesses: On the association between disease and living conditions in a Palestinian refugee camp in Lebanon," This research examined the association between the domestic built environment in a Palestinian refugee camp in Beirut, Lebanon, and the presence of illness among household members. Data on the domestic built environment, socio-demographics and health were collected in 860 households. The association between the presence of illness among household members and three environmental indices, namely infrastructure and services, housing conditions, and crowding was evaluated. These indices were based on a number of items that reflected the existing problems in the domestic built environment. The main finding was the positive association between poor housing conditions and the presence of illness among household members. Households with 8-15 housing problems were twice more likely to report the presence of illness than those with less than four housing problems (OR = 2.08, 95% CI = 1.40-3.11). This research contributes to the understanding of the influence of the built environment on the health of a refugee population. ",International journal of environmental health research,ENVIRON
0.43088299,20411959,Coarse-grained molecular dynamics simulations of DNA condensation by block copolymer and formation of core-corona structures," Coarse grained molecular dynamics simulations are used to study the condensation of single polyanion chains with block copolymers composed of cationic and neutral blocks. The simulations are an effort to model complexes formed with DNA and cationic copolymers such as polyethylenimine- g -polyethylene glycol which have been used in gene delivery. The simulations reveal that increases in the cationic block length of the copolymer result in greater condensation of the polyanion. The ability of the complexes to form core-corona structures, with the neutral blocks of the copolymers forming a corona around a dense core formed from the charged beads is investigated. The core-corona structure is shown to be dependent on both condensation of the polyanion chain and the length of the neutral block of the copolymer. Increasing the length of the cationic and neutral blocks of the copolymer both result in improvement in the core-corona structure. The internal structure of the complex core is shown to be a function of the architecture of the copolymer. Complexes formed from linear diblock copolymers have homogeneous cores with similarly arranged cationic and anionic beads; however, complexes formed with star-shaped copolymers have a layered core structure, with anionic beads found in the center of the cores. ",The journal of physical chemistry. B,CHEM
0.616254063,20160892,Inexact Matching of Ontology Graphs Using Expectation-Maximization," We present a new method for mapping ontology schemas that address similar domains. The problem of ontology matching is crucial since we are witnessing a decentralized development and publication of ontological data. We formulate the problem of inferring a match between two ontologies as a maximum likelihood problem, and solve it using the technique of expectation-maximization (EM). Specifically, we adopt directed graphs as our model for ontology schemas and use a generalized version of EM to arrive at a map between the nodes of the graphs. We exploit the structural, lexical and instance similarity between the graphs, and differ from the previous approaches in the way we utilize them to arrive at, a possibly inexact , match. Inexact matching is the process of finding a best possible match between the two graphs when exact matching is not possible or is computationally difficult. In order to scale the method to large ontologies, we identify the computational bottlenecks and adapt the generalized EM by using a memory bounded partitioning scheme. We provide comparative experimental results in support of our method on two well-known ontology alignment benchmarks and discuss their implications. ",Web semantics (Online),CS
0.718189073,31100915,Hair Cortisol in Sheltered Cows and Its Association with Other Welfare Indicators,"Simple Summary Hair cortisol concentrations are measured for the assessment of long-term stress in animals. The objective of this study was to assess the levels of stress in retired, abandoned and unproductive cows housed in traditional shelters through the measurement of their hair cortisol levels. The study further aimed to explore the association of the hair cortisol concentrations with other cow and resource-based welfare indicators. High hair cortisol levels were associated with dung lying in the sheds, low dry bulb temperature and shelters having little access to the yards. At the cow level, high hair cortisol levels were associated with injuries on the joints and body, dehydration, old age, and low body hair loss level. The study concluded that hair cortisol is an effective tool to assess stress levels in cows under field conditions. Abstract India, the country with the largest population of dairy cows in the world, has a policy of retiring abandoned and non-lactating cows in shelters, but the level of provision for their welfare in these shelters is unclear. Cows in 54 shelters across India were assessed for historic evidence of physiological stress, through determination of hair cortisol in 540 samples from 10 cows in each shelter by enzyme immunoassay. Animal-based and shelter resource-based welfare measures were recorded and correlations with the hair cortisol investigated by multivariable analysis. High hair cortisol concentrations were associated with dung in the lying area of the cowshed, a low dry bulb temperature there and little cow access to yards, as shelter-based variables. At a cow level, high hair cortisol concentrations were associated with dirty flanks, hock joint ulceration, carpal joint injuries, body lesions, dehydration, an empty rumen, old age, and low levels of body hair loss. Hair cortisol level promises to be an effective biomarker of stress in cows when conducting studies under field conditions.",Animals : an open access journal from MDPI,ANIMAL
